805 805
533 538 0.737135
533 539 1.336698
533 544 1.118675
534 535 -0.598257
534 549 0.410100
535 536 0.028560
535 539 -0.107705
535 542 0.355594
535 549 1.500216
535 555 0.355594
535 566 0.355594
535 567 0.083065
535 571 0.301088
535 574 0.083065
535 576 -0.571004
535 583 -0.189464
535 587 2.917366
535 588 2.426814
535 590 1.145928
535 593 0.301088
535 596 0.519112
535 598 -0.134958
535 602 1.036917
535 603 0.192077
535 604 -0.080452
536 542 1.227687
537 540 1.173181
537 545 1.200434
538 539 0.573617
538 543 0.301088
538 547 1.173181
539 544 1.145928
539 545 0.573617
539 547 1.772745
539 548 0.192077
539 551 1.036917
539 553 1.581974
539 556 -0.461993
539 557 -0.407487
539 561 1.118675
539 562 1.173181
539 571 1.173181
539 573 1.091422
539 576 0.737135
540 541 0.464606
540 545 0.818893
541 545 -0.571004
541 552 0.355594
541 558 -0.189464
541 560 1.227687
541 564 2.072527
541 565 0.791641
541 568 0.301088
541 570 0.083065
542 548 0.791641
542 559 1.936262
542 566 -0.352981
543 547 0.573617
545 550 0.927905
545 551 -0.243969
545 554 -0.461993
545 556 -1.279579
545 558 -1.988155
545 560 -1.225074
546 547 0.110318
546 548 0.818893
547 548 0.737135
547 553 0.328341
548 553 1.581974
548 557 0.273836
548 559 0.246583
548 566 0.546365
548 571 -0.516498
549 555 1.500216
551 556 -1.443097
552 563 -0.625510
554 556 0.955158
554 560 -2.751236
555 567 0.519112
556 560 -0.461993
556 562 -1.197821
556 572 0.028560
556 576 0.437353
556 577 -1.252326
556 580 -0.025946
556 582 0.028560
556 584 -0.216717
556 585 -0.189464
558 560 -1.170568
559 566 0.791641
560 564 0.791641
560 568 -0.243969
560 570 -0.407487
560 575 0.982411
560 578 1.118675
560 580 0.464606
560 581 0.382847
560 584 -1.334085
560 585 0.410100
560 591 -0.598257
560 592 0.846146
560 597 0.818893
560 600 0.355594
560 601 1.282193
560 605 0.219330
560 606 0.491859
560 608 1.418457
561 562 0.028560
562 569 0.737135
562 573 1.718239
563 565 0.028560
563 568 1.609227
565 568 -0.080452
566 571 0.001307
568 570 0.246583
568 575 -0.352981
569 572 -0.516498
569 573 1.663733
572 573 2.208791
572 576 2.999125
573 576 1.554722
574 583 0.028560
575 578 1.118675
575 579 1.500216
576 582 0.219330
576 585 -0.243969
576 590 2.072527
